#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
fluffy,2,3,1,1
pure,1,3,2,1
candy,2,3,1,1
shopping,2,3,1,2
puppy,2,3,1,1
kitty,2,3,1,1
clouds,2,3,1,1
lipstick,1,3,2,1
parfait,2,3,1,1
strawberry,2,3,1,1
pink,2,3,1,1
chocolate,2,3,1,1
heartbeat,1,3,2,2
kiss,1,3,2,2
melody,2,3,1,2
ribbon,2,3,1,2
jumpy,2,3,1,1
doki-doki,2,3,1,1
kawaii,2,3,1,1
skirt,2,3,1,1
cheeks,2,3,1,1
email,2,3,1,1
sticky,2,3,1,1
bouncy,2,3,1,1
shiny,2,3,1,1
nibble,2,3,1,1
fantasy,1,3,2,2
sugar,2,3,1,1
giggle,2,3,1,1
marshmallow,2,3,1,1
hop,2,3,1,1
skipping,2,3,1,1
peace,2,3,1,2
spinning,2,3,1,1
twirl,2,3,1,1
lollipop,2,3,1,1
poof,2,3,1,1
bubbles,2,3,1,1
whisper,2,3,1,1
summer,2,3,1,1
waterfall,1,3,2,1
swimsuit,2,3,1,1
vanilla,2,3,1,1
headphones,2,3,1,1
games,2,3,1,2
socks,2,3,1,1
hair,2,3,1,2
playground,2,3,1,1
nightgown,1,3,2,1
blanket,1,3,2,1
milk,2,3,1,1
pout,2,3,1,2
anger,2,3,1,2
papa,2,3,1,1
valentine,2,3,1,1
mouse,1,3,2,1
whistle,2,3,1,1
boop,2,3,1,1
bunny,2,3,1,1
anime,2,3,1,1
jump,2,3,1,1

#Yuri's words
determination,1,1,3,2
suicide,2,1,3,2
imagination,2,1,3,1
secretive,2,1,3,2
vitality,1,1,3,1
existence,2,1,3,2
effulgent,1,1,3,1
crimson,1,1,3,1
whirlwind,1,1,3,1
afterimage,1,1,3,1
vertigo,1,1,3,1
disoriented,1,1,3,1
essence,2,1,3,1
ambient,2,1,3,1
starscape,2,1,3,2
disarray,1,1,3,1
contamination,1,1,3,1
intellectual,1,1,3,2
analysis,1,1,3,1
entropy,1,1,3,2
vivacious,1,1,3,1
uncanny,2,1,3,1
incongruent,1,1,3,2
wrath,2,1,3,2
heavensent,2,1,3,2
massacre,2,1,3,1
philosophy,1,1,3,2
fickle,1,1,3,1
tenacious,1,1,3,2
aura,2,1,3,1
unstable,1,1,3,2
inferno,2,1,3,1
incapable,2,1,3,1
destiny,2,1,3,2
infallible,1,1,3,1
agonizing,2,1,3,2
variance,1,1,3,2
uncontrollable,2,1,3,2
extreme,1,1,3,1
flee,2,1,3,1
dream,2,2,3,2
disaster,2,1,3,1
vivid,2,1,3,2
vibrant,1,2,3,1
question,1,2,3,2
fester,2,1,3,1
judgment,1,1,3,1
cage,1,2,3,2
explode,1,2,3,1
pleasure,1,2,3,2
lust,1,2,3,1
sensation,1,2,3,2
climax,1,2,3,1
electricity,1,2,3,1
disown,1,1,3,1
despise,2,1,3,1
infinite,2,1,3,2
eternity,2,1,3,2
time,2,1,3,2
universe,2,1,3,2
unending,2,1,3,2
raindrops,2,1,3,2
covet,1,1,3,2
unrestrained,1,1,3,2
landscape,2,1,3,1
portrait,2,1,3,1
journey,2,1,3,1
meager,1,1,3,1
anxiety,2,1,3,1
frightening,2,1,3,1
horror,2,1,3,2
melancholy,2,1,3,1
insight,2,1,3,2
atone,2,1,3,2
breathe,1,2,3,1
captive,2,1,3,2
desire,1,2,3,2
graveyard,2,1,3,1

#Monika's words (you may want to tweak some of Sayori's values if she isn't self-aware)
Monika,1,1,1,3
reality,2,1,1,3
write,1,1,2,3
pen,1,2,1,3
choice,2,1,1,3
ink,1,2,2,3
paper,1,2,1,3
draft,1,1,2,3
assignment,2,1,1,3
piano,1,1,2,3
future,1,2,1,3
player,2,1,1,3
window,1,1,2,3
trapped,2,1,2,3
revelation,2,1,2,3
desperation,2,1,2,3
solitude,2,1,2,3
sacrifice,1,2,2,3
poem,2,1,2,3
computer,2,1,1,3
longing,2,1,2,3
different,1,2,1,3
aware,2,1,1,3
envy,1,2,1,3
epiphany,2,1,1,3
regret,2,1,1,3
remorse,1,1,2,3
save,2,1,1,3
load,2,1,1,3
stockings,1,2,1,3
bow,2,2,1,3
uniform,1,1,2,3
ponytail,1,2,1,3
activity,2,1,1,3
club,2,1,1,3
song,1,2,1,3
binary,2,1,1,3
decimal,2,1,1,3
hex,2,1,2,3
code,2,1,1,3
string,2,1,1,3
integer,2,1,1,3
list,2,1,2,3
function,2,1,1,3
class,2,1,1,3
object,2,1,1,3
edit,2,1,1,3
boolean,2,1,1,3
help,2,2,1,3
file,2,1,1,3
folder,2,1,1,3
computer,2,1,1,3
console,1,1,2,3
wall,1,1,2,3
barrier,1,1,2,3
plead,1,1,2,3
penance,1,1,2,3
reconcile,2,1,1,3
repair,2,1,1,3
fix,2,1,1,3
understand,1,2,1,3
mediator,2,1,1,3
leader,1,1,2,3
manage,1,1,2,3
coordinate,1,1,2,3
emerald,1,2,1,3
finite,2,2,1,3
ending,2,2,1,3
fate,1,1,2,3
program,2,1,1,3
predetermined,1,1,2,3
static,1,1,2,3
unchanging,1,1,2,3
constant,1,1,1,3
escape,1,1,2,3
#This one's unique (both Sayori AND Monika will respond to this one)
president,3,1,2,3
